O95396	Q9BTM9
A1A5B0	Q96CN4
P62993	Q06418
Q8IWR1	Q96IW7
Q6A162	A2VCK2
Q9BSE2	Q8WWP7
Q9P291	Q9NRD5
Q15788	Q9BTK6
A6NJ78-4	P33240
Q8N9W6-4	Q9BQY4
Q9BYR5	Q5BKY6
Q96NZ8	Q92624
P53672	Q8TDS5
Q96DC9	Q15038
Q99081-3	Q9NQ33
P20674	O95238
P01100	P05067
P01100	P17535
Q8TAP4	Q6FG41
Q8IYX7	Q9NZC7-5
Q14141	A0A0S2Z5W9
P0CG48	Q8N3F0
P60411	D9YZU9
Q5H9L4	P41227
P58340	P43364
Q8N5A5	P14373
P0DN76	Q10567-3
Q12933	Q8N8B7-2
Q9NYG5-2	Q02930-3
Q9BVX2	P56851
Q63ZY3	P63167
Q9NRI5-2	Q8NHY3
P42858	Q9Y3C7
Q9NY91	Q96Q45-2
O43399	Q8NI60
P50750	Q8WXE1
Q02086	P33993
Q92734	Q4VC12
Q96B26	Q8ND83
P56282	Q04864
Q8TF42	Q9NRI5-2
Q00987	P05412
Q96BR6	Q9UJV3-2
Q9NP86	Q49A26-4
Q9BYQ4	Q8WZ59
O76011	Q9Y5Y7
Q5T5A8	Q9UGC6
O76083	Q49AN0
O15353	P32320
Q86V94	Q8N8U2
Q96BE0	P54652
P55072	O60941-5
Q8NBR0	Q9C029
P01344	Q93062
Q9BYV2	O95363
P62136	P46937
O43920	O43678
Q96T60	Q99735
P02533	Q3MIT2
Q9P2G9-2	P11086
Q9UI14	Q9NPQ8-4
O15481	Q59EK9
Q6UY14-3	Q6RVD6
Q86WT1	Q8WYA0
P04049	P08238
Q8WYB5	Q86SE8-2
P10588	P55209
A0A0C4DGF1	O75553
P49760	Q9UBU9
Q99469	Q9NZQ3-3
A8MQ03	P09603
O94875	V9HW98
Q9P2H3	Q9NQC8
Q13227	Q52LG2
Q8IWU4	Q96MG2
Q3B820	Q96MT8
Q7Z3Y7	P04259
Q58DX5-2	Q8TBM7
Q04917	Q9Y4H2
Q8WWP7	Q16623
Q9H5N1	Q96A65
Q9BWK5	Q9UL63
P04637	O15169
P60409-2	P60520
O43521	Q8N6Y0
Q9BQY4	O75069-4
Q9GZU7	Q7Z5V6-2
P06396	P32121
Q8TBB1	P15531
Q15051	Q8NFJ9
Q08043	O14561
O15496	P31273
Q99081-3	Q06455-4
Q9BPX1	Q9HC98
Q6A162	P26441
P35968	Q12913
Q68G74	Q86U70
Q5SWW7	Q7Z3K3
Q8N7W2-2	Q9UJX0-2
O43610	Q5T7P2
P51858	P68431
P26371	Q5TA79
Q86XR8-3	Q96MT8-3
Q92997	Q96EG3
O94868-3	Q9H0I2
P04637	P08047
Q9BU61	Q9P032
Q9P1Z2	Q96LK0
Q14790	O14763
Q9BYE3	Q9BYR2
Q96GN5	P55081
Q99828	Q99683
Q6ZVK8	Q9UI14
O95983	Q13330
O95197	Q9NQC3
P08069	Q9Y2W7
Q14847-2	Q6PKX4
P36406	Q8IYE0-2
Q9NPI6	Q9NPJ4
Q9NPI6	Q92900
Q5JR59-3	Q92608
Q6UY14-3	Q9Y4X0-3
O95365	Q8WXI9
P35226	Q99496
P30260	Q9UM11
Q8NHQ1	Q15735
Q3LI66	Q49AR9
Q93062	Q6P1W5
Q6NXQ0	Q15323
Q96CG3	Q9H190
Q8WWB3	Q15561
Q9Y2T1	Q8TBB1
Q9Y4K3	Q9UNA4
Q9UMX0-2	Q6PIK1
A8MQ03	Q9UHJ9-5
P41227	Q96FF9
Q16401	P62191
Q03060-25	P09234
Q16384	Q9UBF1
Q00444	Q969G2
Q9H0I2	Q12933
O75952-3	P49841
P35610	P28331
Q05D60	O60941-5
Q3ZCW2	Q9BSI4
Q53FD0-2	Q9BRV8
P62993	P29353-1
O43920	Q9P032
Q7Z3S9	A8K571
Q16543	Q9HAT0
A2RRN7	Q9NW38
P30153	Q5VSL9
P78504	P15529
Q8NEZ3	O75386
Q9C0A0-1	Q13009
Q14764	Q96HA8
Q15834	Q9C086
Q6PEW1	G5E962
O76015	Q9BQ24
Q3MIT2	P02533
Q7Z417	Q9BYR2
Q7L2R6	Q86Y13
Q13077	Q9NQL9
P55196	P12931
Q659C4	O00139
Q9Y5B8	Q01433
Q17RL8	Q6XD76
Q7Z3Y7	Q5XKE5
P40937	Q03989
Q8IYX7	Q9BRQ3
Q9HAN9	B4DE54
Q14654	Q96B26
Q9UJU2	P35222
A1L4K1	Q8IY31
Q9NYB9-2	Q9Y3L3
O75558	O14964
Q8N1B4	P40222
Q9H9D4	Q9HCK0
Q6ZYL4	P19447
Q9UPZ9	O60303
A0A024R8A9	Q2I0M5
O60716	Q7Z6J6
A8MQ03	Q08E93
P42681	Q5JST6
Q96PD2	P46109
Q5JR59	Q96NL3
Q9UMX0	Q9BVW6
Q9H2L4	P47884
Q15014	Q53EZ4
P00533	P04792
A2RRL9	Q15654
P14136	G2XKQ0
P13501	P13501
P48668	P19012
Q08AM6	Q9BSG0
P23415	O60504
Q8TBB1	Q9UL41
Q9UGP5	Q08945
A2RTX5	Q8TCE9
P19012	Q9Y2J4-4
Q9NTW7	Q8WWY3
Q9Y4K3	O43734
Q9BS40	P43361
P25786	O94829
Q15910	P10275
P11801	P08238
P54274	Q8WVM7
O00180	P63165
Q6A163	P14136
P34130	O43186
P56545-3	O15409
Q12800	Q9NZQ0
Q9BYQ3	O76081-6
Q9NYB0	P48539
Q8NFW5	Q9UBP8
Q5T0G8	Q92734
Q9GZT4	Q9H4P4
Q9BYV2	Q9NX04
P49639	Q13077
Q9H7V2	Q969F0
Q5JR59-3	Q9NUL5-4
A0PJX4	Q6FHY5
P23258	Q9BSJ2
P08107	P04150
Q32P44	P61981
P49639	Q5T754
Q02446	P86480
Q5BKZ1	Q2NL98
Q99816	Q6UWE0
Q07627	Q8WWY3
O95971	Q969L2
O43929	Q13416
Q9Y2J4	Q9BW66
Q92918	P46108
P54646	P31321
Q9NWS9-2	Q96A72
Q5H9J7	Q6VB84
P30153	Q16204
Q9UBU9	Q9BX10
Q5TD97	Q5HY98
Q99805	Q8N4P2
Q2TBE0	Q8N137
Q6UY14-3	P09211
Q96D16	Q5JR59
A5D8V6	O75935-2
P60371	Q16600
P29972	O43610
Q9UMX0	Q969H8
P16157-17	Q5VST9-3
P43364	Q96AJ1
P36897	P63104
Q92734	Q92734
P57077-4	O76011
Q12809-2	Q9BZ67
Q99959-2	Q5JR59-3
Q9H0C1	P19971
Q8WW24	Q6PF18
Q9NTW7	Q86V42
Q08117-2	O43167
P55036	P54725
Q14203	P10636-8
Q9H1C4	Q9GZY8-5
Q9H1K1	O76011
P23497-2	P45973
O15144	Q7Z6K5-1
Q9BVN2	Q3LI66
Q6IB98	Q9P2A4
A0A0S2Z4Q4	Q01850
Q86XS5	Q8N423
Q9BRX2	O75821
Q5T5A8	Q9BQ66
Q96KQ7	Q96JB3
O43463	Q96BD6
Q99954	O00308
Q8TBB1	Q8NHQ1
Q9UKZ1	A5YKK6
Q8NEY1-4	Q96CN9
Q16543	P11802
Q9UBR4-2	Q08117-2
Q8IUC1	Q8NEK8
Q15628	P05783
Q9NZC7-5	Q494U1-3
Q8N5M9	Q16623
Q9NRI5-2	Q9H0A9-2
Q71SY5	Q8TDS5
P25713	Q9NYB0
Q9BYV2	Q8IX29
P60410	P08631-2
Q96DE5	O75031
Q09472	P55209
Q13422	Q9H788
Q86W54	Q9UJV3-2
Q4LDR2	P26715
Q9UPM6	Q16656-4
A6NEM1	Q8N9N5-2
P20618	Q3LI76
Q9H2G9	Q9BXY8
Q5T700	O75379
P98170	O43447
Q3LI72	Q0VD86
P17152	Q9BVX2
P59991	A8MV65-2
Q9NS64	Q96T60
O00471	P00973-2
Q5T124-6	Q8N6Y0
Q9BTC8	Q14839
Q96T49	P62140
Q16543	Q08379
O15553	O15553
A5D8V6	Q9Y6A5
O14817	Q9NRQ2
O60260	O60260
Q9BW66	P62316
P0C7H8	Q15040
Q5T7P3	P60328
Q68DK2-5	Q8WXK1
O15231	Q8TAP6
A5D903	Q9UMX0
P60520	Q9BXK5
P62993	Q9UJM3
A0A0S2Z5S9	P15884-3
Q8NDP4	Q9H8W4
Q99471	Q7L5A3
Q9NSK0	A1A4E9
Q02548	Q13952-2
Q8WUP2	Q86UY0
Q9NRD5	Q92551
P28702-3	O75528
Q15323	Q14005-2
Q96HA8	Q5T754
Q9NS64	Q9Y5W9
I6L996	O14543
Q2M2Z5	Q9UBB9
Q8NCY6	Q8TBB1
Q96PU8	P61978-2
P25025	Q9BVK8
O95793	O76003
Q8NAV1	P49760
P60328	P51504
P59991	Q8IWZ5
P17544	Q8IZU0
Q8N4Y2-3	P49720
Q9NZH6	Q86UY0
O43557	Q86UP9
Q96D03	Q6IPR3
Q9Y2C3	Q9UHP7-3
Q6RW13-2	Q9Y2Z4
P40259	O43765
Q16633	Q2WGJ6
Q9BSU1	Q9H0E2
Q8TD31-3	Q9BT25
Q9UHV2	Q9H503-2
Q8NDV7	Q9HCK5
P61981	Q8NEB9
Q9Y5V3	O43251
Q969R5	P22234
Q16543	Q96HR9-2
Q9NRD5	P49247
P43360	Q9Y333
Q14192	P51610-1
Q13895	Q9UJV3-2
Q99638	O60921
Q96MW5	O14964
Q9BRK4	P63000
Q5T686	O15160
Q5TD97	O96015
P63208-1	P41002
Q4ACW9	P35638-2
P09012	P09661
P06702	P43357
P57060	P60409
O14512	Q63HR2
Q15697-2	P17028
P56385	Q9NZD8
Q8N443	Q13064
Q9NZ43	P50222
P35222	P11388
Q9BZI7-2	P61326
O00255-2	Q03164
Q8NHQ1	P55081
Q9H5X1	Q6PL24
Q04864-2	Q8IXL7-2
Q53TS8	Q9UBB9
P50221	Q9UL33-2
Q53EZ4	Q99816
Q6NVI2	Q96C28
Q07002	Q8N1B4
Q08495	Q8TAP6
P54646	Q8N684-3
Q93009	Q8WUA2
P63172	Q9UBY9
Q86YW9	P61024
Q5VWG9	P84243
Q96M29	Q3LI70
Q7Z417	Q5TA82
O75832	Q15008
P09874	Q7Z2E3
A1A4E9	Q8IY31
P30990	P30989
P50542	O14734
Q6RVD6	Q5JR59-3
Q9BYR8	P23769
Q8N7K0	P60411
Q08043	Q13077
Q96KN7	Q92834
O14920	Q14145
P43115-12	O76081
O95947	Q96A09
Q08379	P09493-5
